,Word,frequency,sentiment,category
2580,welcoming,43,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
2603,goodness,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2610,advanced,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
2611,winner,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
2612,solid,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
2616,strongly,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
2620,readiness,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
2623,endorsed,42,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
2628,embrace,41,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2630,meaningful,41,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2655,privilege,41,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
2669,engagement,40,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2684,novel,40,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2688,favor,40,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2693,thankful,40,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
2695,inspiration,40,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
2724,talented,39,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2726,wisdom,39,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
2737,grateful,39,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2744,festival,39,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2760,precious,39,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
2765,brave,38,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
2773,hopefully,38,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2775,intelligent,38,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2790,invite,38,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
2825,asset,37,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
2857,bright,36,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
2866,secure,36,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2880,warmed,36,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
2890,fan,36,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2894,silly,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
2903,engaged,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2909,courage,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2910,prospect,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
2920,lovely,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
2927,beauty,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
2945,prominent,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2948,tops,35,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2952,charity,34,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
2956,engaging,34,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2966,retreat,34,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
2970,admitted,34,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
2989,applaud,34,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2992,influential,33,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
3015,hail,33,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
3030,pray,33,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
3036,revered,33,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3049,champagne,32,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
3073,enjoying,32,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
3080,wise,32,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
3083,stable,32,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
3106,fighter,31,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
3112,ethical,31,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3135,worship,31,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
3138,backed,31,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
3150,hopeful,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3154,beloved,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3156,emotional,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
3161,hilarious,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
3165,gains,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
3181,acceptable,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
3183,cute,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
3188,laughing,30,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
3259,solidarity,29,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
3264,favoring,29,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3273,laugh,28,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
3296,helpful,28,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3297,spirit,28,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
3305,strength,28,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
3327,sunny,28,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3345,luck,27,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
3357,livelihood,27,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
3390,certainty,27,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
3392,promising,27,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
3402,dynamics,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
3411,lucky,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3420,supremacy,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
3434,beneficial,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
3458,casual,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
3463,optimism,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
3468,paradise,26,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",positive
3480,spark,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
3485,outstanding,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}",positive
3488,survivor,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
3501,comfort,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
3505,careful,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
3558,withdrawal,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
3560,blessed,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
3565,sunshine,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
3580,passion,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
3588,kudos,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3593,rescue,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
3598,privileged,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
3621,hoped,24,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
3660,loving,23,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
3669,compassion,23,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
3675,worthy,23,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
3700,confident,23,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
3734,bless,22,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3766,resolve,22,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
3781,surviving,22,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
3786,thoughtful,22,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
3805,ideal,21,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
3817,mandatory,21,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
3819,demonstration,21,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
3824,strengthening,21,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
3857,poised,21,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
3942,kiss,20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3943,fame,20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
3950,decisive,20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
3954,virtue,20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
3978,startling,20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
3987,honorary,19,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4039,defence,19,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
4060,capable,19,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4065,peaceful,19,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
4089,miracle,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
4103,advantage,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
4111,extend,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
4112,robust,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4131,inspirational,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
4137,endorsement,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
4141,confidence,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
4149,alright,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
4170,succeed,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
4184,scoop,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
4193,admiration,18,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
4204,motivate,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4205,tolerance,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
4230,superb,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",positive
4245,optimal,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4276,praying,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4288,significance,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
4289,nicely,17,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
4302,innocent,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4307,visionary,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
4325,agreeing,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4329,heaven,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
4332,inviting,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
4340,sigh,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
4343,luckily,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
4361,diamond,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4367,comedy,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4412,admire,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
4414,apologize,16,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
4453,dynamic,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4454,excitement,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
4462,appease,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
4465,relentless,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
4473,ease,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4476,pride,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4480,motivation,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
4505,validate,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4526,integrity,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4535,laughable,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
4540,boldly,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4543,talent,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
4573,legally,15,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
4607,joy,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
4612,comedian,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4618,romanticism,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
4628,impression,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
4638,proudly,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
4643,profitable,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
4644,adventure,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
4669,easiest,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
4691,grace,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
4695,adequate,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
4698,outreach,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
4706,substantial,14,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
4766,respectfully,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
4769,praising,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
4773,importantly,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
4796,magnificent,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
4802,cherish,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
4806,eager,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4813,accomplished,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
4816,terrific,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
4838,gaining,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
4872,immune,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
4901,swift,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
4931,mercy,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
4951,endorse,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
4953,verdict,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
4959,humor,13,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
4994,praise,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
5013,keen,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
5089,superior,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
5105,treasurer,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
5113,heartfelt,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
5116,delicate,12,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
5180,passionately,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
5181,passive,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
5189,thriller,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
5241,creatively,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
5274,neat,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
5275,surprisingly,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
5276,amazed,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
5284,thankfully,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
5288,clarity,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
5290,sincere,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
5299,heroically,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
5307,calm,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
5321,pleasant,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
5335,sophisticated,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
5339,aboard,11,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
5385,valued,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5397,lover,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
5405,respectful,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
5450,relax,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5452,carefully,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
5461,comfortable,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
5473,smile,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
5474,liberty,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
5479,honesty,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
5481,courtesy,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
5498,darling,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
5505,gentle,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5515,satisfy,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
5528,celebrated,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
5529,efficiently,10,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
5604,flexible,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
5607,wishing,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
5616,acceptance,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
5622,amusing,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
5629,entertaining,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5649,fabulous,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
5681,await,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",positive
5683,liking,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
5729,warmth,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
5736,adorable,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
5746,ideally,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
5750,competitive,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
5785,fortunate,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5809,willingness,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
5831,brilliantly,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}",positive
5840,incentive,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
5857,happily,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
5910,wisely,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
5915,grey,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
5918,reliant,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
5920,intellectually,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
5932,neatly,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
5945,deliciously,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
5946,happiness,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
5966,charming,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
5967,intellect,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
6000,dignity,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
6005,vitally,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
6024,accomplish,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
6040,assure,8,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
6138,dwelling,7,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
6152,improvement,7,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
6156,optimist,7,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
6165,apology,7,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
